"","Comp1","Comp2","Comp3","Comp4","Comp5","dist5","dist4","dist3","dist2","Csize"
"B_and_1",0.000454505337887354,-0.0070040730176107,0.0133994463651425,-0.0483145896560489,0.00300199473918761,0.0507160755863169,0.050627150329274,0.0151264264395303,0.0070188043097233,34.5283303153342
"B_and_7",0.000424717483228635,-0.0307609918372771,-0.00850068612453252,-0.0177524770317575,-0.000142115109613479,0.0365219291085351,0.0365216526064263,0.0319167772236077,0.0307639237379367,38.553043803721
"B_chr_0",-0.00127696707161878,-0.00812601166518986,0.00129025294934981,-0.00645210260428868,0.0107056665260137,0.0150189342811194,0.010533617193271,0.00832631149778257,0.00822573464711818,35.8588705063428
"B_chr_9",-0.00910504487837194,-0.0118095014660899,0.0132235142818329,-0.0165657884271561,0.0147157567920971,0.0298027908299548,0.0259162659982083,0.0199305669030408,0.014911947126876,35.6958818596517
"B_fra_1",0.0163743599127667,-0.0319125796605729,-0.0198552715222812,-0.0562691768289917,0.00407743358256628,0.069739586577505,0.0696202877858249,0.0409971244158508,0.0358682645683512,43.5359015380603
"B_fra_8",0.00993068677568099,-0.0542812053448265,0.00168905378861498,-0.0398262040899699,-0.0145034164450755,0.0696016976590368,0.0680738365926343,0.0552079767445316,0.0551821329193056,43.8962831314071
"B_pen_0",-0.00585941052504184,-0.0470812974535231,-0.0141263001037123,-0.0279601532307608,-0.00423842642601536,0.0570111221033634,0.0568533533304401,0.0495028647274907,0.0474445071805799,44.7373235205351
"C_cel_0",0.0153780642870845,-0.0244590561807634,0.0359638648380257,0.0938746083393727,0.0534453731634339,0.117460546005919,0.104597189041723,0.0461316579428837,0.0288916993351281,27.0971001870787
"E_can_0",0.0617184580213222,-0.00417599272224982,-0.0308693037351855,-0.0135235568915907,-0.0115573480268508,0.0713861315190491,0.0704443573314515,0.0691340790698852,0.0618595746489256,51.6809096876283
"E_can_4",0.0359410421446918,0.0273910974447609,-0.0298594273458555,-0.0119909844660102,0.00936710965021771,0.0562595999164643,0.0554743169364114,0.0541628667178661,0.0451888341260859,47.352933688132
"E_leu_0",-0.0951812685575109,0.0580431268942762,-0.0366967376940749,-0.0138894969602138,-0.0330235030950174,0.122713482974546,0.118186493082237,0.117367495590857,0.111483085999097,47.6956419848185
"G_rad_5",-0.0491489356783609,0.0272296256822599,-0.0444167248822912,-0.0264650013622798,0.0492595648592689,0.0908670285065534,0.0763564806646185,0.0716234308196751,0.0561878135640785,23.9265221416917
"H_min_2",0.0422012913963601,0.073180543742846,0.0595623316925836,0.042992835582306,0.0298840053393959,0.115868244231147,0.111948185541721,0.103363496141899,0.0844768665258075,21.2140561113664
"H_min_3",0.0708570043124013,0.141571978476064,0.17297676876257,-0.0358034822741243,-0.0333154497471828,0.239533110897231,0.237204957840783,0.234487318806997,0.15831405543967,20.451795178889
"H_ste_9",-0.152690006795102,0.169550923349934,-0.0887299934809539,0.025341315608363,0.00346752452807992,0.246148271434412,0.246123846475298,0.244815778754216,0.228170448971604,56.6649193816918
"L_mey_3",0.0484008225636136,-0.0146648256728733,-0.00584832659196177,0.021658647690598,-0.0108009728334466,0.0563707166418054,0.0553262747757507,0.0509107028116527,0.050573676323263,55.8479839532077
"L_mey_8",0.0640304705843587,-0.0356751381567514,-0.0144555804804327,0.00443131581122372,0.0106368148308992,0.0755933782969754,0.0748412788012257,0.0747099755908406,0.0732981353498009,60.93430621842
"M_bec_6",0.0244634104276374,0.000870551584694403,-0.00515858711298994,0.0361845916547013,-0.0238950457829134,0.0500612146976076,0.043990362626744,0.0250165411441102,0.0244788951918311,29.9490540588019
