rowname,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Csize
L_mey_8,0.069455412,-0.022781559,0.023933211,-0.004935954,-0.007566274,0.001542629,0.022343658,-0.015575344,0.003790047,-0.003533908,-0.017706466,0.005868185,0.009204699,0.009478445,-0.014632965,0.008148081,-0.007013947,-0.016160852,-0.009790827,0.012480372,60.94300241
M_bec_6,0.026320629,0.00502792,0.0010693,-0.038709484,0.019617384,0.014132424,-0.011368076,-0.00808038,0.001366402,-0.024507912,0.006072896,-0.005839738,-0.00467394,0.003128811,0.008093826,-0.001102303,5.78E-04,-0.002862284,-0.008776944,-0.007476741,29.95211763
M_dol_2,0.0017862,0.001952741,0.026337251,-0.013564584,0.049724356,0.035439818,-0.023723625,-0.002145303,-0.021875175,-0.004155969,-0.005753418,0.005802089,8.06E-04,-0.013266424,0.002185974,-0.001165539,0.00258918,-0.007051744,0.007648301,0.003293333,41.683935
M_ele_8,0.054331852,-0.022572255,-0.03479621,-2.88E-04,-0.005927216,-0.01818066,-0.007236998,0.033839119,0.01096974,-0.00349284,-0.007594343,0.016238548,-0.016181458,0.002903636,0.007794771,0.01460753,-0.00285749,0.003556842,0.008396398,-0.001181026,39.57701212
M_ele_9,0.057827362,-0.036403542,-0.03789765,-0.004922227,0.003820949,-0.015202159,-0.024115126,0.031626739,-0.017367004,-3.54E-04,-0.004742414,5.10E-04,-0.00797746,-0.004982991,0.006715728,0.020469031,0.014978281,-0.012270344,-0.004181781,-0.009139207,39.33882925
M_ele_kcr8,0.062199259,-0.0024752,0.010831032,-0.017675456,0.006055811,0.004152781,0.005480237,-6.14E-04,0.007532112,-0.009363754,-0.005911294,-0.013240166,0.00302308,-0.009366476,0.011295045,-0.007241574,-0.003679237,-0.00994617,-0.010795909,-0.019521462,39.79226669
M_hel_1,0.006307904,0.011994066,0.030795663,-0.01444641,0.059347895,0.005725056,0.010418936,-0.001987123,0.013728097,-0.015871372,-0.009195766,0.006465282,0.010897134,0.007952037,3.95E-04,0.02341528,-0.001515365,-0.008346837,0.012102125,-0.00456259,43.49169295
M_hel_2,0.016194096,0.007716386,0.04109936,-0.018194813,0.034515182,-0.030960216,-9.32E-05,0.009017646,-0.009566457,0.007503631,0.011258488,-0.002332171,-0.016668272,-0.008321431,-0.017542004,0.004362504,0.005092157,-0.010909736,-0.001160907,0.008856932,44.74468776
M_mus_4,0.026202158,-0.004744036,0.043123761,0.006233794,0.038803356,-0.011145594,-0.010971132,0.001011097,-0.007407714,0.009059478,-0.001158481,0.01386354,-0.012105946,0.016503844,-0.013366581,-0.013076741,-0.010948959,0.011939643,-0.0091652,-0.011770349,31.92667842
M_mus_5,0.008716685,-9.89E-04,0.018391672,-0.004895146,0.029943978,0.005850391,-2.72E-04,0.009532257,8.01E-04,0.001866706,-0.021074038,-0.004719649,0.00538322,0.014141656,-0.017954099,-0.009009389,-0.001303442,8.37E-04,-0.014809,-0.005079125,33.66957418
M_nas_4,-0.085727867,-0.097141315,-0.021673842,-1.79E-04,-0.015609405,0.006327785,0.013957899,-0.003447205,0.012396189,0.001158992,-0.011534611,0.008156292,-4.41E-04,0.010117021,-0.006209068,-0.003985279,0.004775271,-0.003652557,0.004407959,0.002334904,27.89188928
M_nas_5,-0.091250846,-0.086770762,-0.026705487,-0.005626075,-0.001707626,0.009726303,0.004911876,2.54E-04,0.007438958,-0.003624202,0.008670961,0.014047705,0.003099595,0.008009261,0.004701133,-0.004623132,0.010244492,-0.004646262,0.012945207,-0.007175405,28.97971792
M_par_8,0.009302165,-0.041633589,-0.014502863,-0.07479047,0.019948421,-0.023747815,-0.059349487,-0.035616878,0.035044802,0.029398632,0.017109807,-0.015498871,0.013123869,0.018951622,0.015204371,0.014574946,-3.81E-04,0.010300642,-0.00446408,-0.001194939,25.88465166
M_par_9,-0.009181381,-0.014181438,-0.020058399,-0.047149717,0.02228988,0.018589793,-0.005970486,-0.009946965,-0.00554351,-0.009668988,-7.64E-04,0.006690155,-0.01451559,0.003652078,-0.007977536,0.004240284,-0.017660434,-8.23E-05,0.001554241,0.003688657,23.20546713
M_wat_1,0.026581487,0.008483147,0.036488639,0.001655878,0.060161275,-0.001385797,0.023998665,0.006417257,-7.97E-04,0.007205305,0.014018008,0.015267816,7.13E-04,0.017417914,-0.014062347,-0.017966663,0.005438168,0.009568276,2.69E-04,0.001850513,32.71764705
P_dom_6,0.032360668,0.013935727,0.023484616,-0.004036477,0.006881752,0.013607102,0.010088624,0.009592571,0.010786277,-0.008363979,0.004550926,-0.004167134,-0.003517228,-0.004541244,0.002430494,-0.015905524,0.014936412,0.008245964,-1.83E-04,0.008395693,60.68575832
P_dom_7,0.063969437,-1.06E-05,6.58E-04,-0.013785809,-0.020977756,0.016015162,0.014541827,0.018042889,0.022629785,0.010581249,-0.022440713,-0.007118331,0.01071787,-0.005687433,0.003233042,-0.011391921,-0.006937123,0.008699088,-0.00755257,0.011528536,57.06415033
R_exu_2,0.019397464,-0.003515067,-0.003203516,-0.00378098,-0.031480675,-0.014464689,-0.013191889,-0.021318853,-0.004252334,0.015405513,-0.005245886,7.63E-04,0.00934432,-0.010423493,-0.003616178,-0.001215587,2.51E-04,0.016877852,-0.002396616,-0.008253985,29.82291199
R_exu_8,0.010833857,-0.008923038,-0.004962915,-0.034573308,-0.017117419,-0.016273199,0.003297908,0.024147009,0.011174548,0.017020078,-0.009563422,-0.009763821,0.007487824,-0.015299847,-0.004048003,4.99E-04,9.57E-05,0.002878759,0.006893314,-6.44E-04,29.09979774
R_fac_4,0.027804626,0.004259057,0.021439719,-0.024073006,-0.001841304,-0.021168099,0.007369465,0.001812076,-0.003471529,-0.01323244,0.012234024,-0.018014267,0.005571349,-0.001849334,0.00398506,-0.011836281,-6.35E-04,-0.009752049,0.001021871,0.003765198,44.45851723
R_fac_5,0.029196462,0.005871448,0.015524586,6.67E-04,-0.020483005,-0.01992491,-0.012064786,-0.001772473,-0.02749479,-0.004238488,-0.004128618,0.024442457,0.023031335,-0.012854799,-0.001768646,0.006608186,-0.00346322,0.003657498,0.00306585,-0.012507179,44.13435567
R_hof_0,0.05594885,0.027014218,0.023753624,-0.024446706,-0.002621117,-8.45E-04,0.021852331,0.011101544,0.022801582,0.022464658,0.003000326,0.004210977,-0.003273168,-0.023958627,0.001481455,-0.004086061,-0.005543845,0.001399117,0.011826771,-0.007587997,44.60915062
R_hof_7,0.026733847,0.006564604,0.024452533,0.009212063,-0.031171418,0.001875927,-0.023691478,-0.008472511,0.019282713,0.017540452,-0.021001839,-0.015072974,0.020767782,0.007767382,-0.009134558,-0.016201309,8.57E-04,0.001744352,0.013974319,-0.004315248,41.05125095
R_mar_0,0.019595158,-0.023485366,0.031271397,0.050312592,-0.006856764,0.003871011,0.0185304,-0.007405398,0.007911196,0.040393413,0.012047147,0.016884873,-0.017000094,-0.017298972,0.014037413,0.026816334,0.005028837,-6.82E-04,-0.01498124,0.002240615,120
R_mol_0,0.024779387,0.014598282,0.020058141,0.002914501,-0.017026436,1.73E-04,0.002009954,0.01410155,0.013913014,-0.003809948,-5.82E-04,-6.54E-04,0.011612194,-0.004734862,0.004629826,-0.00156052,-0.002372275,-0.007991221,0.01320213,-0.002340632,42.73461145
R_xan_5,0.017639923,0.002302873,0.026014343,0.030238553,-0.021912133,-0.017165282,-0.009261626,-0.002479914,0.005413439,-0.00155079,0.001878318,0.013357956,0.010286792,-3.00E-04,-0.003385118,-0.008524207,-0.006394161,-0.011214528,-0.003501776,-0.002461644,45.63008271
S_mac_4,-0.044537249,0.004899373,-0.004595446,-0.005653172,-0.030477911,0.002940491,0.002819571,-0.013684924,-0.021640562,0.013309811,-0.016455944,0.010340688,-0.010843376,0.002349453,0.007511272,-0.01100615,-0.016058927,-0.019364388,-0.002310324,-0.007029809,23.97547902
S_mac_6,-0.032621371,-0.017891305,0.017403262,0.004721299,-0.018664255,0.020005548,-0.012718361,-0.013176631,-0.035592189,0.015054614,0.018990078,-0.016423949,-0.017595235,-0.012433351,-0.008283164,1.12E-04,-0.019172955,0.003627578,-0.002074229,-0.004112736,23.59099132
S_mac_som2,-0.038782476,0.007606252,-0.001721557,-0.006106051,-0.03177527,-0.005855368,-0.002812291,-0.017883053,-0.02400741,0.013744579,-0.017585568,-0.008592513,-0.017428163,-0.00454961,-0.011803878,-0.00688324,-0.01052814,-0.008499274,0.002235413,-0.00146708,23.96336652
T_arc_2,0.011644528,0.008715108,-0.027077589,0.005967353,0.045527571,-9.41E-04,0.009291393,0.009632945,-0.021633336,0.018369578,-0.009733824,-0.016006517,0.002795818,0.007768894,0.009177231,0.002977783,-0.009703624,-0.011081858,0.009024745,-9.74E-04,52.49550984
T_arc_4,0.001463929,-7.11E-04,-0.049455307,0.01316928,0.011594598,-0.022470498,0.022704834,0.017272251,-0.030943748,0.010620481,-0.021426769,-0.027437808,0.018097599,0.0151664,-0.017502258,0.02255398,0.006633387,0.002639326,0.002704687,0.00519029,46.92918876
T_cal_5,0.0148905,0.031102746,0.005205336,0.007302828,-0.002132498,0.014478028,0.025700083,-0.023752303,0.002378814,-2.91E-04,0.010654891,-0.015584966,-0.001270567,0.004126175,0.01266872,-0.006309848,0.006090586,0.009975491,-0.010064948,-0.007400267,47.79440758
T_cel_0,0.058068976,-0.005852245,-0.027555855,0.044116594,-0.011270169,-0.027475945,-0.0147052,0.00866061,-8.98E-04,0.003801721,-0.010210633,0.011293879,-0.019033442,0.01531012,0.004457614,-0.013674875,0.012536229,0.007532393,0.002572324,0.006829208,49.27635147
T_cel_1,0.038258206,0.032365888,-0.025354265,0.045918102,-0.020755864,-0.016095089,-9.89E-04,-0.009174422,-0.005593451,0.004211666,-0.021871699,0.007219384,-0.014960918,0.027815303,0.018098726,0.00430961,6.36E-04,0.010502764,-2.70E-04,-0.00532298,45.91594074
T_ham_6,0.043978246,0.014046562,0.002610576,-0.002489598,-0.007735168,-0.007948796,0.016349776,0.017424281,0.025737083,0.003555353,0.007613164,-0.006191285,-0.016330788,0.002859322,-2.57E-04,-9.07E-04,-0.021310662,-0.001713925,0.003167882,0.008593703,44.36288027
T_ham_7,0.02193615,0.025493703,-0.0035261,0.008654599,-0.002532993,-0.015235657,0.020184678,-0.002577444,0.005617382,-0.014533087,0.01736136,-0.016467884,-0.009536106,-0.00525804,0.006889129,0.004408139,-0.00494038,0.009238229,0.013315853,0.001597398,42.6781667
T_mac_1,-0.098129552,-0.048837515,-0.022144088,0.014783353,0.012365665,0.048382776,0.03463159,0.037270821,0.004916807,0.042263671,0.005827696,-0.002046335,0.015371996,-0.005392875,0.007386175,0.00207101,-3.30E-04,0.006792551,-0.006446298,-7.44E-04,33.0715384
T_mac_9,-0.114514385,-0.011633062,-0.013433557,-0.010065619,-0.008114357,-0.005302383,0.008873842,0.0145174,0.003947096,-0.003845414,0.01720956,-0.028468676,-0.016392245,0.009610299,-9.10E-04,-0.005716499,0.004319448,-1.10E-04,0.007670021,-0.006301603,27.63545735
T_rhi_7,-0.146391857,-0.061157452,-4.98E-04,0.002414867,0.013564979,-0.018114475,0.017420809,-0.008141763,0.018484398,-0.036524977,-0.027441392,-0.003079026,-0.003496979,-0.018013896,0.00632524,0.003023335,-0.01860591,0.014782166,-0.008446988,-0.007735044,36.19356344
T_rhi_8,-0.132040983,-0.074040627,0.009846708,0.014077051,0.010197945,-0.031514647,0.014722404,-0.010185622,-0.00219723,-0.006879548,0.008086456,0.009581962,6.41E-05,0.00371546,0.002918661,-0.010212114,0.008840127,-0.002328203,0.001459185,0.010762589,35.55856334
T_tar_5,0.019904085,0.036125466,0.025199545,0.002107832,0.005394177,0.014732068,-0.001845096,0.002237098,-0.019592762,-0.011070511,-0.006530654,-0.015349093,0.002109204,-0.014703761,0.002090934,-0.003543242,0.007352457,-3.28E-04,-0.004495433,0.006921456,51.19651221
T_tar_7,0.024070242,0.037861682,0.011411766,0.005121608,-0.005109937,-8.46E-04,0.012472933,-0.019252458,0.007214659,-0.010522917,0.008085258,-0.005613453,0.008418723,-0.011618315,-0.003753225,0.002109985,0.011242582,1.34E-04,-0.003514889,0.009936972,52.09741438
W_mam_7,-0.030411865,-7.68E-04,-0.009875129,-0.008004381,-0.00610217,0.010295095,-0.007552395,-0.007382571,-0.050932802,-0.004134189,-3.12E-04,-8.78E-05,0.025740739,4.31E-04,0.016094428,-0.002354589,-0.001069299,0.023071361,0.009173669,0.011889273,28.56493734
