"","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6","Comp7","Comp8","Comp9","Comp10","Comp11","Comp12","Comp13","Comp14","Comp15","Comp16","Comp17","Comp18","Comp19","Comp20"
"B_and_1",-0.00497611330306476,0.0155313733207942,-0.014163250688752,0.0467843266955855,-0.0131054244350307,0.0639835626274211,0.0123157531932254,-0.0183297928631438,0.00871340326031575,-0.00652097017292115,0.0123603508358251,-0.0107873398167851,3.36195556386617e-05,-0.0161022087823212,0.0226044654605685,-0.00839170209147406,0.00142747552988171,-0.010203657887151,0.0119188203362217,-0.00263057329688619
"B_and_7",-0.00490049761697442,0.0279186696674709,0.0170708501383812,0.0182768801367494,-0.00117271167768739,0.0278969274338895,-0.0375611476616664,-0.0079397067157707,0.0086864022546122,-0.0201181833672637,-0.00898840029687772,0.00992608640876654,-0.00437916659208596,-0.00481504341567922,0.0171613782670618,0.00384540126454555,-0.00466403682059218,0.005913302689863,-0.0147792435860807,0.0155396371104134
"B_chr_0",-0.0019484383409798,0.0124395229427236,0.00051891632941294,0.00572383417684957,-0.0151271429734378,0.0409670806876886,-0.00509267687110041,-0.00277708874940872,-0.00570588749094043,-0.00419331087225134,0.00958860415863024,0.00918806665889224,0.0126220826720006,-0.00711149787646635,-0.0042846413889935,0.00572591012505502,-0.0163018960261177,-0.00540245086111339,-0.00828754146099509,-0.00251591140469222
"B_chr_9",0.00599613530155434,0.019810180667169,-0.0085426192629168,0.0154065028488785,-0.0172492227610603,0.0245466586091345,-0.0171045732355195,-0.00869404935796968,-0.0029518341431068,-7.18769715977698e-05,0.0127626863835225,0.00607730238458477,-0.00619930874006771,0.00139680896671046,-0.00448612326887525,0.00295725296513009,0.00380593700986564,0.00451323385157998,-0.0117900438263703,0.00488812001914565
"B_fra_1",-0.0195923398776917,0.0215781104665323,0.0267602373160409,0.0574857528792251,-0.00185220286327954,-0.0110240546756247,-0.0152538028839824,-0.00389681310595627,-0.0171005227459541,-0.00193552646464835,0.0139449751101331,0.0122207759659353,0.0159993006418861,-0.00384189999995829,-0.00629589370723578,-0.00187533987411381,0.000631742200531092,-0.00553909310813608,0.00475347857485323,0.00531258670388908
"B_fra_8",-0.0154410485844346,0.0501181869860773,0.014920542312481,0.0415434861331753,0.0172292571709492,-0.00550255276677992,-0.0127095434027278,-0.0149803381477219,0.0049810501755408,-0.0056423744249342,0.00963880164250734,-0.0116195961284549,0.00945528199971593,0.00301719024873625,-0.00641508500464735,0.00943841647664424,0.0116493443299166,0.000484993985677076,0.00996931016795608,-0.00727701055585763
"B_pen_0",0.00023411258178372,0.0415281167950842,0.0282187535332568,0.0291600715862597,0.00386492867835242,0.0107504522023743,-0.00727134182827313,0.00868660464565007,0.00499341493393314,-0.0168137490024636,-0.0131999162521085,0.00182151539367022,0.003722828482637,0.00176287723548887,-0.0126596340983826,-0.00611519112204927,0.0160293287590016,-0.0111912988615982,0.00244336762034831,-0.0079558362767133
"C_cel_0",-0.0202674488732575,0.0382418003880823,-0.0213274583748033,-0.0959773577784731,-0.0459987045085714,-0.0290484975641362,0.0156635304225558,0.0175274160873906,-0.0128417210041109,-0.00415066894934865,0.0267110349452545,0.0124397974764182,0.00826130239221121,-0.0123918998004363,0.00745448478639242,-0.00787642891545464,0.0150528373350229,-0.000950036948997144,-0.000921022951312094,0.000290307544442493
"E_can_0",-0.0622846547970697,-0.0108876023566545,0.0291364800726066,0.0144477394288881,0.00977448938141335,0.00861167221831353,0.03127081845526,0.0205575737520252,-0.0130465622113313,-0.014672345476464,-0.00161487862816819,0.0101691564107354,-0.00619425578978079,-0.00434597282093632,-0.00420251647511776,-0.0186787357829541,-0.00366957311537628,0.00622901382510419,0.0144209873028386,0.0184144589078165
"E_can_4",-0.0343991749617408,-0.0378494139033032,0.0162603988447827,0.0121029715303503,-0.0111271045113343,-0.00289633827921852,0.0284498421167684,-0.0143230522956786,-0.0192755161522405,0.00492164573991905,0.00902294759450267,5.72098808883506e-05,-0.00498478356981302,-0.00298840404486656,0.0248668130633554,-0.0140557755207351,-0.00531992659355982,-0.00380184638721882,-0.00738374436477777,-0.0101712853494384
"E_cen_3",0.107192588733258,-0.0653845025323936,0.028464437817786,-0.00217713090767415,0.0263059748345603,-0.0323033672531953,-0.0141684250096048,-0.00769678261077701,0.0178739786885553,0.00870099817068809,0.0218972376909353,-0.00251525806026439,-0.00758292409761912,0.0146110186037749,-0.00283696098755153,-0.0098334968594149,-0.000481499219980726,-0.00208921916778909,0.000367352628444054,0.0150600051029926
"E_leu_0",0.102157941240192,-0.0578383630429341,0.0133266448724162,0.0143092839546347,0.0305035363696485,-0.000599364307130111,-0.0416092818244772,0.000979021813239513,-0.00442985453743276,0.0103002959793092,0.00860047928795348,-0.00669336897158939,-0.00292570627723461,0.0111290840652064,0.00604113763961849,-0.00188956311044307,0.00264916055385717,-0.012242951057434,-0.0125977608439236,-0.00448702593856296
"G_rad_5",0.050489798384593,-0.0339119436907495,0.0339077601230217,0.0247995376723686,-0.0501440985719775,-0.0367156520364675,0.00354900785904375,-0.000809543973315317,0.00546259825344421,-0.0383060263205451,0.000805213224206875,-0.0202606581124676,-0.00811391983645269,-0.0187214802566335,-0.00296383605951553,0.0220698342154573,-0.00489734932889025,0.00387026410554893,-0.00168546705536624,-0.0112505032558137
"H_min_2",-0.0381204834106275,-0.0461996686700426,-0.0806037056438163,-0.0480364341409382,-0.0347366129306239,0.0327170942810249,-0.0138948051167786,-0.00764531597114638,0.0430830821832841,-0.00100989836335188,0.0107649133836856,-0.00284251309517841,-0.0130438550769684,0.00173770799733867,-0.0062043220575208,-0.00428599018021429,0.0143928643693465,-0.00174293176518342,0.00176022620610897,0.00124537443332956
"H_min_3",-0.0453176102405395,-0.0787556074613055,-0.218237562329552,0.0361995022971633,0.0350269241841332,-0.00813545857235381,0.00698269438001057,-0.00325949952283325,-0.0288572306586306,-0.0146623100996448,0.00383106219714222,0.00567734394793667,0.0197840662445198,0.0133646136724883,0.00169076695772697,0.0105396844354943,0.00615041104021489,0.0048827584730449,-0.00208614703583091,0.00215010675813171
"H_ste_9",0.168192439096591,-0.171329576528871,0.0215212634474892,-0.0264435580722844,-0.014135573740177,0.0205207364691673,-0.000152983210708238,-0.0123088041089975,-0.0108129889106031,0.0115762169972523,-0.00624144854216175,0.0147692385031922,0.0110542194415642,-0.0253526873022062,-0.00853711355062928,0.00142484548021034,0.00466043345184646,0.000560855515093061,0.00967904524091264,-0.00597739939201482
"L_mey_3",-0.0510150326808528,0.0101127124462376,0.0100582177792179,-0.0210849393989567,0.00953702991042872,0.0185084417527571,0.0339344869055263,0.00711801128924993,-0.0237365338075809,0.0208339449908727,-0.00358385387405902,-0.00384629071148905,-0.0219503473836948,0.00483579185407961,-0.0245750197027962,0.0105073562916476,-0.00450027713585767,-0.0167960276630943,-0.00947163876633961,0.00568879151334756
"L_mey_8",-0.0687427554223747,0.0244942285425413,0.0242103736824798,-0.00368079515298477,-0.00839352691467337,0.000859500634574468,0.0237289244616074,-0.00259677646931275,-0.0112421220767078,0.019279948943584,-0.00157300548333548,-0.00764855848204819,0.00555330492583788,-0.0131913654733772,0.0121482014236866,0.0182915582122524,0.0106622790174373,-0.00775166921085059,-0.0102407172956329,0.00342261260216683
"M_bec_6",-0.0247313680812854,-0.0029160675182647,0.00455474754503888,-0.0356225686875619,0.0235784423452997,0.0179230705363924,0.00106341039038361,-0.00419465495705392,0.00153228967357905,-0.0148176620536164,0.0145469794220253,-0.00931062504394929,-0.0163284974072542,0.000758924814348592,-0.00303635884751578,0.00970080820134264,0.00521992811151943,0.00710971336249599,0.00593655515801213,-0.000448325075755442
"M_dol_2",-0.000224535014762303,0.00445320266387474,0.0264973595074883,-0.0105927340782593,0.0553079903596829,0.0365475955036169,-0.00576660155268416,0.0198869818797551,0.0132073430729473,0.00375252297097094,0.0114478597132431,0.00607665304768724,0.00885190425805539,0.0037591969101039,-0.00703370350140486,0.0014586501057374,-0.00544235958639551,-0.00352984451047511,-0.00300798103156096,-0.00632677807847187
"M_ele_8",-0.0561828909543227,0.0138499542985513,-0.0351633419869696,0.000456465148906929,-0.00551237560539424,-0.0235430863944913,-0.014103752977782,-0.0164050514507514,0.0244069905870543,0.0109416186604892,0.010332809259857,0.0115831414808575,-0.0131467622337249,-0.00692767060803885,0.00271099958811796,-0.00214203707737493,-0.0187957343865543,-0.00462111017726052,0.00229440833066474,0.00417604266317701
"M_ele_9",-0.0606610156655284,0.0269061455562527,-0.0402412382555354,-0.00268714477916291,0.00808249621892762,-0.016850692065901,-0.0263928441809265,0.0124276908506942,0.0325132452393833,-0.00125618801155786,0.0109328948693373,0.00123252255502099,-0.00381927524013217,-0.0120601127714821,-0.00661480739652435,0.00206387367199056,-0.00440950864043957,-0.0137748355410277,0.014458751330168,-0.00373731666308408
"M_ele_kcr8",-0.0612395685429899,0.00297503093843229,0.0153994189105412,-0.0158363233229863,0.00844841487281654,0.00188337188488105,0.00857158367466485,-0.00891893584026984,0.0031639650753101,-0.00367899239411555,-0.000261232990795776,-0.0112925011000328,-0.00222910648381498,0.0143123578932569,-0.00753162774344978,0.0134226673727591,0.00468130872242171,0.00390755685289869,0.0200474052270684,0.00258052873775156
"M_hel_1",-0.00337794225770705,-0.00468473337138954,0.0323804318059841,-0.0121692052613521,0.0601715605217995,0.00114481450215687,0.0226458200678913,-0.0166965480393519,0.000696524518532934,0.00802218496685606,0.00729142924242703,-0.00873829796173815,0.004059039418189,-0.0228255336666883,0.00243685284024487,0.00362815464883011,-0.0136453105228351,-0.002475543245798,0.00305675563084466,0.0111006090103876
