Collector_Number,Catalog_Number,Species,Clade,SubClade,SubClade_Frat,Community,Confirmed_ID,elev_min,elev_max,mhb_elev_min,mhb_elev_max,Sample Mass (mg),Carbon Content (mg),Carbon Content (%),Corrected_13C,Nitrogen Content (mg),Nitrogen Content (%),Corrected_15N,C/N Ratio,Notes
KCR_2701,MZB,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Bawakaraeng,Measurements,1660,2550,1500,2000,0.623,0.286834235,46.04080824,-23.65713769,0.095827911,15.38168719,6.643582047,2.993222244,
KCR_2709,MZB,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Bawakaraeng,Measurements,1660,2550,1500,2000,0.61,0.278035327,45.57956184,-25.07973467,0.092891913,15.22818238,5.257690765,2.993105855,
JAE_4320,,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Gandangdewata,Measurements,1580,2100,1500,2000,0.611,0.273721879,44.7989982,-24.31491561,0.089600569,14.66457754,6.783775807,3.054912294,
KCR_1594,,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Gandangdewata,X,1580,2100,1500,2000,0.576,0.254910176,44.2552389,-23.70897688,0.083748877,14.53973562,6.67426244,3.043744403,
ASA_279,MZB,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Gandangdewata,isotopes_elevation,1580,2100,1500,2000,0.609,0.274506435,45.07494828,-21.28569332,0.094876458,15.57905715,6.251027932,2.893303995,
ASA_320,MZB,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Gandangdewata,Measurements,1580,2100,1500,2000,0.6,0.275397587,45.89959783,-23.42637513,0.091241194,15.2068657,6.180785182,3.018347025,
JAE_4284,,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Gandangdewata,Measurements,1580,2100,1500,2000,0.608,0.268682468,44.19119532,-23.83462039,0.089544126,14.72765227,6.081969955,3.000559391,
JAE_4270,,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Gandangdewata,Measurements,1580,2100,1500,2000,0.588,0.258675036,43.99235312,-23.72321096,0.085415914,14.52651591,5.937018559,3.02841737,
JAE_4406,,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Gandangdewata,X,1580,2100,1500,2000,0.615,0.268999531,43.73976106,-23.98371087,0.088967882,14.46632236,5.908243363,3.023557749,
JAE_4298,,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Gandangdewata,Measurements,1580,2100,1500,2000,0.579,0.256526987,44.30517914,-23.70018927,0.084766163,14.64009726,5.337918131,3.026289945,
JAE_4370,,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Gandangdewata,X,1580,2100,1500,2000,0.624,0.276596443,44.32635309,-22.33971427,0.091048396,14.59108917,5.137696773,3.037905708,
JAE_4332,,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Gandangdewata,Measurements,1580,2100,1500,2000,0.579,0.254091272,43.88450288,-22.11808688,0.082574076,14.26149843,4.506760854,3.077131278,
HH_745,MV,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Latimojong,X,1700,2535,1500,2000,0.623,0.283310828,45.47525322,-24.51173211,0.095268254,15.29185464,8.669390503,2.973821965,
KCR_2561,MV,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Latimojong,X,1700,2535,1500,2000,0.595,0.262840644,44.1748982,-24.14841713,0.08859454,14.88983862,8.232615319,2.96678153,
KCR_2632,MV,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Latimojong,X,1700,2535,1500,2000,0.624,0.280259821,44.91343281,-24.32162021,0.09385185,15.04036058,8.158278572,2.986193886,
KCR_2501,MV,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Latimojong,X,1700,2535,1500,2000,0.615,0.268321647,43.62953602,-24.42592638,0.082186196,13.36360909,7.793685233,3.264801876,
KCR_2567,MV,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Latimojong,Measurements,1700,2535,1500,2000,0.622,0.279580213,44.94858723,-23.37853218,0.094737455,15.23110205,7.702540867,2.951105381,
JAE_3981,MZB,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Latimojong,Measurements,1700,2535,1500,2000,0.616,0.279163953,45.3188235,-24.09876831,0.092096133,14.95067094,7.574951451,3.031223394,
KCR_2489,MV,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Latimojong,X,1700,2535,1500,2000,0.585,0.258382079,44.16787673,-24.01443749,0.083940924,14.34887586,7.110006166,3.07814195,
KCR_2566,MV,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Latimojong,X,1700,2535,1500,2000,0.583,0.260124622,44.61828844,-23.58074309,0.087359762,14.98452174,7.052468237,2.977625126,
KCR_2502,MV,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Latimojong,Measurements,1700,2535,1500,2000,0.6,0.261886356,43.64772607,-24.37025548,0.086002838,14.33380629,7.032102872,3.045089713,
KCR_2487,MV,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Latimojong,Measurements,1700,2535,1500,2000,0.618,0.278131828,45.00515013,-23.81409504,0.091320344,14.77675468,6.855372638,3.045672146,
KCR_2526,MV,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Latimojong,Measurements,1700,2535,1500,2000,0.617,0.280156193,45.40619004,-24.04108216,0.093092961,15.08800022,6.739077809,3.009424004,
KCR_2483,MV,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Latimojong,X,1700,2535,1500,2000,0.592,0.255375226,43.13770706,-23.136677,0.084293029,14.23868726,6.655489442,3.029612652,
KCR_2514,MV,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Latimojong,X,1700,2535,1500,2000,0.584,0.254335765,43.55064464,-24.6955373,0.08322802,14.25137334,6.557347237,3.055891079,
JAE_3979,MZB,Bunomys_penitus,Bunomys,Bunomys,Bunomys,Latimojong,Measurements,1700,2535,1500,2000,0.577,0.261963092,45.40088247,-24.31732188,0.086753579,15.03528237,6.141316604,3.019622868,
ASA_280,MZB,Bunomys_torajae,Bunomys,Bunomys,Bunomys,Gandangdewata,X,2500,2600,2500,2600,0.584,0.261710573,44.81345423,-23.49625815,0.086201117,14.76046516,7.346160834,3.036046205,
KCR_2606,MV,Bunomys_torajae,Bunomys,Bunomys,Bunomys,Latimojong,X,1700,2500,500,1400,0.613,0.271877987,44.352037,-24.30052741,0.08898736,14.51669815,10.26064232,3.055242765,
KCR_2590,MV,Bunomys_torajae,Bunomys,Bunomys,Bunomys,Latimojong,X,1700,2500,500,1400,0.625,0.278977723,44.63643569,-24.05558091,0.092290426,14.76646817,8.985928141,3.022824089,
KCR_2586,MV,Bunomys_torajae,Bunomys,Bunomys,Bunomys,Latimojong,X,1700,2500,500,1400,0.603,0.271817738,45.07756847,-23.78608867,0.089778631,14.88866191,8.905234874,3.027644037,
KCR_2571,MV,Bunomys_torajae,Bunomys,Bunomys,Bunomys,Latimojong,X,1700,2500,500,1400,0.606,0.273302272,45.09938481,-23.65329699,0.088636778,14.6265311,8.752342125,3.083395817,
HH_767,MV,Bunomys_torajae,Bunomys,Bunomys,Bunomys,Latimojong,X,1700,2500,500,1400,0.579,0.258133996,44.5827282,-23.66261323,0.086547371,14.94773243,7.241119826,2.982574676,
KCR_2529,MV,Bunomys_torajae,Bunomys,Bunomys,Bunomys,Latimojong,X,1700,2500,500,1400,0.613,0.275063951,44.87177019,-24.2355562,0.091233051,14.88304251,6.3762932,3.014959486,
KCR_2554,MV,Bunomys_torajae,Bunomys,Bunomys,Bunomys,Latimojong,X,1700,2500,500,1400,0.624,0.281165965,45.05864823,-23.79663644,0.09217075,14.77095348,6.193544827,3.050490158,
KCR_1607,MZB,Crunomys_celebensis,Crunomys,Crunomys,Crunomys,Gandangdewata,X,1500,1700,800,1600,0.622,0.283148649,45.52229086,-22.27303478,0.09106997,14.64147425,9.786064265,3.109133008,
KCR_1484,MZB,Crunomys_celebensis,Crunomys,Crunomys,Crunomys,Gandangdewata,X,1500,1700,800,1600,0.601,0.273200773,45.45769939,-22.1469625,0.08702996,14.48085864,8.988737317,3.139157734,
KCR_1644,,Crunomys_celebensis,Crunomys,Crunomys,Crunomys,Gandangdewata,X,1500,1700,800,1600,0.605,0.268447295,44.37145372,-21.7653305,0.087035695,14.38606536,8.515539406,3.084335614,
KCR_1674,,Crunomys_celebensis,Crunomys,Crunomys,Crunomys,Gandangdewata,X,1500,1700,800,1600,0.583,0.260176361,44.62716312,-21.26385942,0.08537916,14.64479588,7.915740297,3.047305232,
KCR_1643,MZB,Crunomys_celebensis,Crunomys,Crunomys,Crunomys,Gandangdewata,X,1500,1700,800,1600,0.608,0.276644021,45.5006614,-21.8748912,0.090576962,14.8975266,7.543796834,3.054242669,
JAE_5087,LSUMZ_39070,Echiothrix_leucura,Echiothrix,Echiothrix,Echiothrix,Ambang,X,1460,1500,800,1600,0.581,0.255693424,44.00919524,-22.53458811,0.088919662,15.30458902,4.998023067,2.875555507,
JAE_5046,MZB,Echiothrix_leucura,Echiothrix,Echiothrix,Echiothrix,Ambang,X,1460,1500,800,1600,0.615,0.272199288,44.26004684,-22.7607263,0.094350454,15.34153716,4.368240195,2.884981235,
KCR_2456,,Echiothrix_leucura,Echiothrix,Echiothrix,Echiothrix,Ambang,X,1460,1500,800,1600,0.58,0.252190994,43.4812058,-23.00578326,0.082959988,14.30344625,4.250758265,3.039911154,
ASA_278,MZB,Eropeplus_canus,Bunomys,Taeromys,Taeromys,Gandangdewata,X,1580,2640,1800,2300,0.624,0.281475203,45.10820557,-26.35311046,0.09173848,14.70167956,1.69807013,3.068234848,
ASA_332,MZB,Eropeplus_canus,Bunomys,Taeromys,Taeromys,Gandangdewata,X,1580,2640,1800,2300,0.598,0.273017433,45.65508909,-26.3437651,0.089498873,14.96636679,1.448937432,3.050512508,
ASA_306,MZB,Eropeplus_canus,Bunomys,Taeromys,Taeromys,Gandangdewata,X,1580,2640,1800,2300,0.6,0.273177255,45.52954243,-26.43482723,0.089005644,14.83427395,1.249650585,3.069212729,
JAE_4287,MZB,Eropeplus_canus,Bunomys,Taeromys,Taeromys,Gandangdewata,X,1580,2640,1800,2300,0.594,0.269931806,45.44306505,-26.38933457,0.088433555,14.8878038,0.393766901,3.052368615,
ASA_303,MZB,Eropeplus_canus,Bunomys,Taeromys,Taeromys,Gandangdewata,X,1580,2640,1800,2300,0.58,0.263308791,45.39806737,-25.23893199,0.087263568,15.04544272,0.283503028,3.017396578,
JAE_4421,MZB,Eropeplus_canus,Bunomys,Taeromys,Taeromys,Gandangdewata,X,1580,2640,1800,2300,0.617,0.281752227,45.66486665,-25.77725017,0.091719841,14.86545235,-0.10412797,3.071878714,
ASA_321,MZB,Eropeplus_canus,Bunomys,Taeromys,Taeromys,Gandangdewata,X,1580,2640,1800,2300,0.577,0.26170418,45.35601037,-25.87169228,0.08572796,14.85753208,-0.11900092,3.052728416,
KCR_2588,MV,Eropeplus_canus,Bunomys,Taeromys,Taeromys,Latimojong,X,1770,2322,1800,2300,0.605,0.27802579,45.95467598,-27.14132951,0.090360117,14.9355566,4.464200394,3.07686397,
JAE_4922,LSUMZ_38298,Haeromys_minahassae,Haeromys,Haeromys,Haeromys,Buliohuto,X,580,1375,50,150,0.625,0.338038099,54.08609586,-24.94267273,0.089689335,14.35029363,4.096511813,3.768988792,
JAE_4996,LSUMZ_38299,Haeromys_minahassae,Haeromys,Haeromys,Haeromys,Buliohuto,X,580,1375,50,150,0.618,0.33906594,54.86503887,-24.7952243,0.088379575,14.30090216,1.362489899,3.836473969,
JAE_4530,LSUMZ_37067,Haeromys_minahassae,Haeromys,Haeromys,Haeromys,Dako,X,410,1650,50,150,0.619,0.278084955,44.92487151,-24.71364563,0.092008549,14.86406281,1.042411364,3.022381705,
JLP_26023,MZB,Haeromys_minahassae,Haeromys,Haeromys,Haeromys,Dako,X,410,1650,50,150,0.576,0.220785207,38.33076509,-25.85273691,0.069712982,12.10294819,-0.186683627,3.167060165,unsure on mass
KCR_1398,MZB,Haeromys_minahassae,Haeromys,Haeromys,Haeromys,Gandangdewata,X,1580,2640,50,150,0.601,0.272512124,45.34311544,-24.06111445,0.08612808,14.3307954,3.465627847,3.16403341,
KCR_1486,MZB,Haeromys_minahassae,Haeromys,Haeromys,Haeromys,Gandangdewata,X,1580,2640,50,150,0.589,0.27041185,45.91033104,-23.34785972,0.084302179,14.31276386,2.072165336,3.207649583,
JAE_4588,LSUMZ_37060,Hyorhinomys_steumpkei,Echiothrix,Echiothrix,Echiothrix,Dako,X,1560,1630,1600,1600,0.585,0.264522204,45.21747077,-22.8997565,0.09169989,15.6751949,7.624078347,2.884651262,
KCR_1919,MZB,Hyorhinomys_steumpkei,Echiothrix,Echiothrix,Echiothrix,Dako,X,1560,1630,1600,1600,0.595,0.271969751,45.70920189,-22.72125687,0.089837624,15.09876029,7.526876946,3.027348008,
JAE_4518,LSUMZ_37059,Hyorhinomys_steumpkei,Echiothrix,Echiothrix,Echiothrix,Dako,X,1560,1630,1600,1600,0.607,0.26969989,44.43161288,-22.88739288,0.094018594,15.48905997,5.817002795,2.868580337,
JAE_5097,LSUMZ_39076,Lenomys_meyeri,Bunomys,Taeromys,Taeromys,Ambang,X,1400,1500,0,1160,0.618,0.275676557,44.60785718,-28.02502412,0.092704668,15.00075535,2.505744747,2.9737074,
JAE_5080,LSUMZ_39075,Lenomys_meyeri,Bunomys,Taeromys,Taeromys,Ambang,X,1400,1500,0,1160,0.588,0.263239205,44.7685723,-27.29985217,0.089504864,15.22191562,1.79591679,2.941060338,
KCR_2434,,Lenomys_meyeri,Bunomys,Taeromys,Taeromys,Ambang,X,1400,1500,0,1160,0.618,0.271034193,43.85666552,-26.17416196,0.089578254,14.49486312,0.577832095,3.025669518,
JAE_5105,LSUMZ_39077,Lenomys_meyeri,Bunomys,Taeromys,Taeromys,Ambang,X,1400,1500,0,1160,0.575,0.25984488,45.19041389,-28.48414617,0.087022646,15.13437325,0.327010624,2.985945512,
JAE_4352,MZB,Margaretamys_elegans,Margaretamys,Margaretamys,Margaretamys,Gandangdewata,X,2200,2600,1500,2272,0.586,0.26596888,45.3871809,-24.62411813,0.09090465,15.51273886,-0.676442516,2.925800615,
JAE_4404,,Margaretamys_elegans,Margaretamys,Margaretamys,Margaretamys,Gandangdewata,X,2200,2600,1500,2272,0.602,0.266045176,44.19355076,-24.18248339,0.088671229,14.72944,-1.286435707,3.000355124,
JAE_4344,MZB,Margaretamys_elegans,Margaretamys,Margaretamys,Margaretamys,Gandangdewata,X,2200,2600,1500,2272,0.595,0.268759949,45.16973932,-24.80569657,0.090709808,15.24534592,-1.877951857,2.96285434,
KCR_2618,MV,Margaretamys_elegans,Margaretamys,Margaretamys,Margaretamys,Latimojong,X,2250,2500,1500,2272,0.618,0.27799446,44.98292237,-25.26299877,0.09383777,15.18410525,2.858326799,2.962500696,
KCR_1365,MZB,Margaretamys_parvus,Margaretamys,Margaretamys,Margaretamys,Gandangdewata,X,2200,2500,1800,2272,0.581,0.264218294,45.4764706,-24.27528839,0.088207866,15.18207676,2.122837765,2.99540513,
KCR_1366,MZB,Margaretamys_parvus,Margaretamys,Margaretamys,Margaretamys,Gandangdewata,X,2200,2500,1800,2272,0.591,0.269684584,45.63190937,-24.40430321,0.089267686,15.10451536,1.884911628,3.02107736,
JAE_4403,,Margaretamys_parvus,Margaretamys,Margaretamys,Margaretamys,Gandangdewata,X,2200,2500,1800,2272,0.615,0.27003261,43.90774144,-24.05732782,0.086459452,14.0584475,1.247377987,3.123228326,
KCR_1346,MZB,Margaretamys_parvus,Margaretamys,Margaretamys,Margaretamys,Gandangdewata,X,2200,2500,1800,2272,0.586,0.266123344,45.41353985,-24.47679889,0.087776853,14.97898514,1.202862997,3.031816871,
JAE_4586,LSUMZ_37072,Maxomys_dollmani,Maxomys,Maxomys,Maxomys,Dako,X,1560,1630,500,1830,0.61,0.265056052,43.45181187,-25.09756928,0.092577685,15.17666971,1.703805536,2.863066318,
KCR_1956,MZB,Maxomys_dollmani,Maxomys,Maxomys,Maxomys,Dako,X,1560,1630,500,1830,0.608,0.275753123,45.35413215,-26.24341223,0.096296944,15.83831312,0.790719638,2.863570873,
KCR_2510,MV,Maxomys_dollmani,Maxomys,Maxomys,Maxomys,Latimojong,X,1770,2260,500,1830,0.618,0.274297432,44.3846978,-24.85059968,0.087699606,14.19087475,6.552249482,3.127692871,
KCR_2352,,Maxomys_hellwaldii,Maxomys,Maxomys,Maxomys,Ambang,X,1460,1460,0,1006,0.587,0.253774209,43.23240353,-23.84680334,0.083786943,14.27375525,3.965375454,3.028803757,
JAE_5071,MZB,Maxomys_hellwaldii,Maxomys,Maxomys,Maxomys,Ambang,X,1460,1460,0,1006,0.604,0.266609644,44.1406695,-23.94524188,0.089511778,14.81983074,3.618645805,2.97848675,
JAE_5103,LSUMZ_39084,Maxomys_hellwaldii,Maxomys,Maxomys,Maxomys,Ambang,X,1460,1460,0,1006,0.599,0.267903135,44.72506427,-23.60445559,0.089646556,14.96603599,3.610043631,2.988437573,
KCR_2182,MZB,Maxomys_hellwaldii,Maxomys,Maxomys,Maxomys,Buliohuto,X,480,1390,0,1006,0.575,0.252368041,43.89009414,-24.60034033,0.084959087,14.77549336,6.043298697,2.970465558,
JAE_4882,LSUMZ_38316,Maxomys_hellwaldii,Maxomys,Maxomys,Maxomys,Buliohuto,X,480,1390,0,1006,0.621,0.274753226,44.24367571,-24.05642191,0.092835152,14.94929979,5.408233318,2.959581809,
KCR_2249,MZB,Maxomys_hellwaldii,Maxomys,Maxomys,Maxomys,Buliohuto,X,480,1390,0,1006,0.602,0.267000633,44.35226456,-25.1679036,0.091519212,15.2025269,5.197795731,2.917427138,
KCR_2188,MZB,Maxomys_hellwaldii,Maxomys,Maxomys,Maxomys,Buliohuto,X,480,1390,0,1006,0.625,0.276479122,44.23665945,-24.57452754,0.094154103,15.06465643,5.009547025,2.936453257,
KCR_2283,MZB,Maxomys_hellwaldii,Maxomys,Maxomys,Maxomys,Buliohuto,X,480,1390,0,1006,0.6,0.265877193,44.31286545,-24.87184469,0.090367388,15.06123138,4.128588122,2.942180777,
KCR_2301,MZB,Maxomys_hellwaldii,Maxomys,Maxomys,Maxomys,Buliohuto,X,480,1390,0,1006,0.616,0.269509077,43.75147352,-24.80534947,0.090859736,14.74995722,3.449561388,2.966210199,
JAE_5039,MZB,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,Ambang,X,1460,1592,0,3000,0.586,0.262520337,44.79869224,-24.77648491,0.086469238,14.75584275,2.954641929,3.03599686,
JAE_5074,LSUMZ_39098,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,Ambang,X,1460,1592,0,3000,0.618,0.273068576,44.18585368,-24.83079513,0.089798539,14.53050795,2.796766744,3.040902205,
MTS_169,LSUMZ_39093,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,Ambang,X,1460,1592,0,3000,0.622,0.280190235,45.04666165,-24.52715306,0.091833112,14.76416588,2.713347315,3.051080705,
JAE_5065,LSUMZ_39097,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,Ambang,X,1460,1592,0,3000,0.596,0.266954859,44.79108371,-24.79754066,0.088500944,14.84915159,1.747915543,3.016406926,
MTS_122,LSUMZ_39091,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,Ambang,X,1460,1592,0,3000,0.575,0.257069347,44.7077126,-24.96907759,0.084188051,14.64140018,1.642750485,3.053513466,
MTS_157,LSUMZ_39092,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,Ambang,X,1460,1592,0,3000,0.583,0.262554432,45.0350655,-24.47023006,0.085967406,14.7456957,1.602618507,3.054116022,
JAE_5048,MZB,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,Ambang,X,1460,1592,0,3000,0.595,0.26740236,44.9415731,-24.54615091,0.088239991,14.83025051,0.971101515,3.030398782,
KCR_2793,MZB,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,Bawakaraeng,X,1660,2800,0,3000,0.584,0.271046731,46.41211143,-24.86721199,0.090124984,15.43236023,6.349393066,3.007453866,
KCR_2916,MZB,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,Bawakaraeng,X,1660,2800,0,3000,0.624,0.336716159,53.96092291,-24.26801387,0.09097238,14.57890711,5.824421265,3.701300961,
KCR_2710,MZB,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,Bawakaraeng,X,1660,2800,0,3000,0.584,0.271449718,46.48111613,-25.07542451,0.085892783,14.70766824,5.253097172,3.160332105,
KCR_2717,MZB,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,Bawakaraeng,X,1660,2800,0,3000,0.575,0.272955179,47.47046596,-25.45056993,0.089394165,15.54681139,4.710304344,3.053389198,
KCR_2824,MZB,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,Bawakaraeng,X,1660,2800,0,3000,0.602,0.27051011,44.93523424,-23.96535549,0.092626491,15.38646029,4.696710328,2.920440009,
KCR_2699,MZB,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,Bawakaraeng,X,1660,2800,0,3000,0.609,0.281885633,46.28663917,-24.36929778,0.096315123,15.81529119,3.32230696,2.926701672,
KCR_2180,MZB,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,Buliohuto,X,580,1375,0,3000,0.578,0.264603675,45.7791825,-24.69207583,0.091177429,15.77464169,6.112068282,2.902074315,
KCR_2184,MZB,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,Buliohuto,X,580,1375,0,3000,0.624,0.283054676,45.36132625,-23.96433744,0.093616585,15.00265785,5.565595667,3.023552673,
KCR_2174,MZB,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,Buliohuto,X,580,1375,0,3000,0.589,0.261810083,44.44992915,-24.77154413,0.087654204,14.88186819,5.341936372,2.98685142,
JAE_4934,LSUMZ_38340,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,Buliohuto,X,580,1375,0,3000,0.594,0.266170916,44.8099186,-24.95976777,0.088932502,14.9718017,4.908607964,2.992954322,
JAE_4872,LSUMZ_38336,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,Buliohuto,X,580,1375,0,3000,0.576,0.256237906,44.48574759,-24.92957883,0.08539422,14.82538546,4.127782653,3.000646946,
JAE_4629,MZB,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,Dako,X,560,1630,0,3000,0.578,0.260223089,45.02129563,-24.41362434,0.085230136,14.7456982,3.535709062,3.053181681,
KCR_1940,MZB,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,Dako,X,560,1630,0,3000,0.597,0.267088988,44.73852392,-24.20341671,0.086485401,14.48666692,3.435818548,3.088255165,
KCR_1908,MZB,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,Dako,X,560,1630,0,3000,0.625,0.278971349,44.63541579,-24.48344108,0.091102583,14.57641324,3.298391792,3.062167286,
JAE_4660,MZB,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,Dako,X,560,1630,0,3000,0.614,0.281315428,45.81684501,-24.28578934,0.090750397,14.78019503,3.180248439,3.099880949,
KCR_1944,MZB,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,Dako,X,560,1630,0,3000,0.619,0.283331206,45.772408,-24.39692189,0.092761731,14.98574004,2.905937555,3.054397573,
KCR_1938,MZB,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,Dako,X,560,1630,0,3000,0.585,0.261304298,44.66740141,-24.62292475,0.08449507,14.44360171,2.854071789,3.092538987,
JAE_4648,MZB,Maxomys_musschenbroekii,Maxomys,Maxomys,Maxomys,Dako,X,560,1630,0,3000,0.622,0.283569772,45.5899955,-24.85550381,0.09218014,14.81995828,2.500375548,3.07625667,
