Collector_Number,Catalog_Number,Species,Clade,SubClade,SubClade_Frat,Community,Confirmed_ID,elev_min,elev_max,mhb_elev_min,mhb_elev_max,Sample Mass (mg),Carbon Content (mg),Carbon Content (%),Corrected_13C,Nitrogen Content (mg),Nitrogen Content (%),Corrected_15N,C/N Ratio,Notes
JLP_25862,LSUMZ_37153,Taeromys_callitrichus,Bunomys,Taeromys,Taeromys,Dako,X,560,1600,760,2260,0.62,0.278901807,44.98416242,-30.40611055,0.095722992,15.43919225,0.683773695,2.91363445,
JAE_4519,LSUMZ_37062,Taeromys_callitrichus,Bunomys,Taeromys,Taeromys,Dako,X,560,1600,760,2260,0.603,0.275029798,45.61024846,-28.39877249,0.094583213,15.68544171,0.00968429,2.907807718,
KCR_1557,MZB,Taeromys_callitrichus,Bunomys,Taeromys,Taeromys,Gandangdewata,Cyt-B - bigears,1700,2640,1700,2640,0.605,0.470861912,77.82841527,-22.47683388,0.154685491,25.56784967,5.754503294,3.04399534,
KCR_1387,MZB,Taeromys_callitrichus,Bunomys,Taeromys,Taeromys,Gandangdewata,Cyt-B - bigears,1700,2640,1700,2640,0.62,0.280043199,45.16825796,-20.05916731,0.093486292,15.07843414,5.41952673,2.99555362,
KCR_1490,MZB,Taeromys_callitrichus,Bunomys,Taeromys,Taeromys,Gandangdewata,Cyt-B - bigears,1580,2670,0,3000,0.595,0.267449241,44.94945227,-21.99199995,0.088599876,14.8907355,5.318387397,3.018618676,
KCR_1291,MZB,Taeromys_callitrichus,Bunomys,Taeromys,Taeromys,Gandangdewata,Cyt-B - bigears,1700,2640,1700,2640,0.613,0.278016659,45.35345169,-21.54842628,0.091385764,14.90795496,4.726535909,3.042231602,
KCR_1335,MZB,Taeromys_callitrichus,Bunomys,Taeromys,Taeromys,Gandangdewata,Cyt-B - bigears,1700,2640,1700,2640,0.613,0.281234405,45.87836942,-21.28585074,0.091633813,14.94841967,4.201519914,3.069111682,
KCR_1386,MZB,Taeromys_callitrichus,Bunomys,Taeromys,Taeromys,Gandangdewata,X,1700,2640,1700,2640,0.625,0.281355869,45.01693906,-20.95344983,0.092488362,14.79813788,4.158823603,3.042067822,
KCR_2511,MV,Taeromys_callitrichus,Bunomys,Taeromys,Taeromys,Latimojong,X,1700,2500,760,2260,0.591,0.257066023,43.496789,-24.67051317,0.085221832,14.41993768,5.093661567,3.016433911,
KCR_2595,MV,Taeromys_callitrichus,Bunomys,Taeromys,Taeromys,Latimojong,X,1700,2500,760,2260,0.62,0.273883072,44.17468901,-23.4622582,0.093023971,15.00386637,4.205990118,2.944220371,
HH_752,MV,Taeromys_callitrichus,Bunomys,Taeromys,Taeromys,Latimojong,X,1700,2500,760,2260,0.609,0.267010052,43.84401509,-25.65655932,0.087999547,14.44984353,4.130225372,3.034220752,
ASA_352,MZB,Taeromys_celebensis,Bunomys,Taeromys,Taeromys,Gandangdewata,isotopes_elevation,1590,2500,0,1200,0.61,0.280342563,45.95779721,-22.8429821,0.093498108,15.32755876,1.969988374,2.998376841,
ASA_302,MZB,Taeromys_celebensis,Bunomys,Taeromys,Taeromys,Gandangdewata,isotopes_elevation,1590,2500,0,1200,0.619,0.281977301,45.55368356,-22.62568292,0.095905582,15.493632,1.44133913,2.940155257,
ASA_294,MZB,Taeromys_celebensis,Bunomys,Taeromys,Taeromys,Gandangdewata,isotopes_elevation,1590,2500,0,1200,0.604,0.278654192,46.13479993,-22.89379759,0.092653795,15.34003232,1.332716661,3.007477362,
ASA_339,MZB,Taeromys_celebensis,Bunomys,Taeromys,Taeromys,Gandangdewata,isotopes_elevation,1590,2500,0,1200,0.625,0.286639094,45.86225508,-23.00375697,0.096047285,15.3675656,1.212386804,2.984353949,
